17.8112,-35.1562,98.0597
17.7682,-34.6852,97.9737
17.5092,-34.2152,97.4677
17.7962,-33.7452,98.0277
17.7922,-33.2742,98.0207
18.2262,-36.5672,97.2767
18.4832,-36.0972,97.7857
18.7592,-35.6232,98.3247
18.5072,-35.1562,97.8327
18.4942,-34.6852,97.8077
18.4392,-34.2152,97.6997
18.2542,-33.7452,97.3337
18.3352,-33.2742,97.4927
18.3612,-32.8062,97.5447
18.0892,-32.3332,97.0067
18.4622,-31.8632,97.7447
19.1422,-37.5102,97.4687
19.1652,-37.0392,97.5127
19.1172,-36.5672,97.4167
19.1952,-36.0972,97.5727
19.4582,-35.6232,98.0857
19.3482,-35.1562,97.8697
19.2762,-34.6852,97.7297
19.2602,-34.2152,97.6987
19.3752,-33.7452,97.9227
19.2852,-33.2742,97.7467
19.2152,-32.8062,97.6107
19.1122,-32.3332,97.4087
19.0542,-31.8632,97.2927
18.7872,-31.3932,96.7637
18.1362,-30.4512,95.4837
19.1502,-38.9212,95.8807
19.5082,-38.4502,96.5797
19.7882,-37.9792,97.1247
19.7792,-37.5102,97.1077
19.8772,-37.0392,97.2987
19.9372,-36.5672,97.4177
19.9442,-36.0972,97.4317
20.1232,-35.6232,97.7867
20.1212,-35.1562,97.7837
20.0402,-34.6852,97.6217
20.0572,-34.2152,97.6557
20.0572,-33.7452,97.6567
20.1832,-33.2742,97.9057
19.9662,-32.8062,97.4747
19.8672,-32.3332,97.2797
19.7962,-31.8632,97.1397
19.5652,-31.3932,96.6907
19.5082,-30.9222,96.5797
19.0992,-30.4512,95.7797
18.8382,-29.9802,95.2627
20.1712,-39.3922,96.2697
20.2112,-38.9212,96.3477
20.3842,-38.4502,96.6847
20.3852,-37.9792,96.6857
20.6052,-37.5102,97.1157
20.6072,-37.0392,97.1197
20.7312,-36.5672,97.3657
20.8422,-36.0972,97.5847
20.8912,-35.6232,97.6827
21.0842,-35.1562,98.0647
20.9132,-34.6852,97.7267
20.9372,-34.2152,97.7737
20.9572,-33.7452,97.8137
20.9102,-33.2742,97.7197
20.7652,-32.8062,97.4337
20.6332,-32.3332,97.1717
20.6362,-31.8632,97.1777
20.5282,-31.3932,96.9647
19.9762,-30.9222,95.8897
20.0162,-30.4512,95.9677
20.2112,-29.9802,96.3477
19.5552,-29.5092,95.0677
21.1952,-39.8642,96.6827
20.9022,-39.3922,96.1017
21.1492,-38.9212,96.5907
21.2082,-38.4502,96.7077
21.3142,-37.9792,96.9167
21.5272,-37.5102,97.3317
21.6452,-37.0392,97.5627
21.8582,-36.5672,97.9767
21.6172,-36.0972,97.5067
21.8272,-35.6232,97.9167
21.8632,-35.1562,97.9877
21.8092,-34.6852,97.8807
21.7562,-34.2152,97.7777
21.7312,-33.7452,97.7287
21.8992,-33.2742,98.0567
21.8502,-32.8062,97.9617
21.6812,-32.3332,97.6327
21.4992,-31.8632,97.2767
21.2832,-31.3932,96.8547
21.2402,-30.9222,96.7717
20.9862,-30.4512,96.2697
20.9182,-29.9802,96.1347
20.6022,-29.5092,95.5087
20.8862,-29.0382,96.0697
21.6612,-40.3352,95.9807
21.7522,-39.8642,96.1597
22.1372,-39.3922,96.9177
22.0042,-38.9212,96.6597
22.1232,-38.4502,96.8897
22.0782,-37.9792,96.8027
22.4032,-37.5102,97.4367
22.5552,-37.0392,97.7337
22.4892,-36.5672,97.6047
22.7562,-36.0972,98.1277
22.5562,-35.6232,97.7357
22.7472,-35.1562,98.1107
22.5542,-34.6852,97.7307
22.5672,-34.2152,97.7567
22.6922,-33.7452,98.0007
22.6192,-33.2742,97.8577
22.3702,-32.8062,97.3717
22.6842,-32.3332,97.9847
22.6052,-31.8632,97.8297
22.4032,-31.3932,97.4367
22.3002,-30.9222,97.2367
22.0922,-30.4512,96.8297
21.6822,-29.9802,96.0207
21.9662,-29.5092,96.5857
21.6112,-29.0382,95.8797
22.3722,-40.8072,95.7737
22.4342,-40.3352,95.8927
22.6692,-39.8642,96.3537
22.7152,-39.3922,96.4437
23.1542,-38.9212,97.3127
23.0752,-38.4502,97.1577
23.1422,-37.9792,97.2887
23.3062,-37.5102,97.6137
23.1752,-37.0392,97.3557
23.3782,-36.5672,97.7557
23.4222,-36.0972,97.8417
23.5342,-35.6232,98.0617
23.4422,-35.1562,97.8827
23.6972,-34.6852,98.3807
23.5032,-34.2152,98.0007
23.4542,-33.7452,97.9047
23.8442,-33.2742,98.6677
23.3542,-32.8062,97.7087
23.6362,-32.3332,98.2607
23.3992,-31.8632,97.7977
23.3492,-31.3932,97.6997
23.0492,-30.9222,97.1057
23.1092,-30.4512,97.2237
23.0152,-29.9802,97.0387
22.9622,-29.5092,96.9327
22.6692,-29.0382,96.3537
